menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
1,1,1917,1917,0.75,0.75
1,1,1906,1906,0.15,0.15
1,1,1917,1917,0.75,0.75
2,2,1900,1900,0.75,1.5
1,1,1975,1975,6.25,6.25
1,0,1987,1987,1.5,1.5
1,1,1913,1913,0.5,0.5
3,3,1900,1905,0.5,2.25
1,1,1914,1914,0.15,0.15
1,1,1852,1852,3.0,3.0
1,1,1914,1914,0.6,0.6
1,1,1987,1987,2.25,2.25
5,5,1914,1961,0.17,0.35
2,2,1900,1900,0.2,0.2
1,1,1901,1901,0.15,0.15
1,1,1914,1914,0.5,0.5
2,2,1906,1906,0.5,0.5
1,1,1918,1918,0.7,0.7
4,4,1896,1900,0.5,1.5
1,1,1914,1914,0.15,0.15
2,2,1914,1914,0.15,0.15
1,1,1969,1969,0.75,0.75
1,1,1914,1914,0.15,0.15
9,9,1920,1920,0.15,0.15
1,1,1900,1900,0.3,0.3
1,1,1913,1913,0.15,0.15
2,3,1919,1943,0.35,0.35
2,2,1954,1955,4.0,4.0
1,1,1907,1907,0.3,0.3
1,1,1959,1959,0.65,0.65
1,1,1962,1962,3.75,3.75
5,5,1913,1914,0.15,0.15
1,1,1901,1901,0.25,0.4
1,1,1961,1961,0.85,0.85
2,2,1914,1915,0.6,0.6
1,1,1913,1913,0.65,0.65
1,1,1998,1998,17.5,17.5
1,1,1906,1906,0.3,0.3
2,2,1917,1917,0.15,0.25
1,1,1913,1913,0.4,0.4
1,1,1917,1917,0.45,0.45
2,2,1913,1913,0.1,0.1
14,14,1934,1957,0.7,2.0
2,2,1940,1959,2.25,3.5
1,1,1953,1953,1.0,1.0
2,2,1917,1917,0.2,0.25
1,1,1987,1987,4.25,4.25
2,2,1901,1905,0.3,0.7
2,2,1892,1899,0.35,0.35
1,1,1939,1939,0.75,0.75
3,3,1900,1907,0.2,0.2
2,2,1900,1900,0.25,0.25
2,2,1900,1900,1.0,1.0
5,5,1917,1917,0.45,0.45
1,1,1919,1919,0.15,0.15
3,3,1913,1914,0.15,0.15
1,1,1914,1914,0.05,0.05
13,13,1900,1910,0.4,0.4
1,1,1988,1988,0.75,1.5
1,1,1887,1887,1.5,3.0
2,3,1938,1938,0.6,0.7
36,37,1900,1967,0.35,3.0
1,1,1892,1892,1.5,3.0
2,2,1900,1900,0.4,6.95
1,1,1918,1918,0.25,0.25
4,4,1900,1900,0.45,45.0
2,2,1900,1900,0.5,0.5
1,1,1962,1962,1.75,1.75
1,1,1917,1917,0.75,0.75
1,1,1917,1917,0.75,0.75
1,1,1900,1900,0.6,0.6
2,2,1917,1917,0.25,0.4
1,0,1959,1959,2.5,2.5
1,1,1949,1949,0.95,0.95
3,3,1987,1998,1.5,1.5
3,3,1899,1914,0.2,0.4
1,1,1964,1964,5.0,5.0
13,13,1895,1907,0.5,0.5
1,1,1952,1952,4.5,4.5
1,1,1913,1913,0.15,0.15
5,5,1919,1919,1.0,1.5
1,1,1900,1900,0.15,0.15
1,1,1959,1959,1.0,1.0
1,1,1915,1915,0.3,0.3
59,59,1884,1948,0.1,50.0
1,1,1913,1913,10.0,10.0
3,3,1917,1959,0.35,0.8
7,7,1939,1965,0.15,0.3
13,13,1913,1917,0.2,0.6
2,2,1920,1920,0.5,7.0
1,1,1916,1916,0.15,0.15
1,1,1905,1905,0.5,0.5
2,2,1985,1987,3.33,3.98
3,3,1901,1913,0.1,0.1
1,1,1900,1900,0.4,0.75
1,1,1917,1917,3.75,6.0
1,1,1900,1900,0.25,0.25
4,4,1918,1918,0.15,0.15
1,1,1906,1906,0.75,0.75
1,1,1918,1918,0.25,0.25
1,1,1939,1939,65.0,65.0
1,1,1954,1954,0.55,0.6
1,1,1918,1918,0.3,0.3
1,1,1900,1900,0.75,1.25
1,1,1900,1900,0.35,0.35
1,1,1900,1900,0.2,0.2
1,1,1912,1912,0.5,0.5
4,4,1913,1914,0.55,0.55
2,2,1892,1900,0.3,0.6
1,1,1957,1957,1.1,1.1
1,1,1900,1900,0.25,5.0
12,12,1918,1918,0.75,75.0
1,1,1966,1966,0.85,0.85
1,1,1963,1963,2.85,2.85
1,1,1907,1907,0.5,0.5
2,2,1901,1901,0.25,0.25
1,1,1933,1933,0.4,0.4
1,1,1900,1900,0.6,0.6
2,2,1901,1901,0.4,0.4
1,1,1917,1917,0.2,3.0
1,1,1912,1912,0.5,0.5
1,1,1918,1918,0.9,0.9
1,1,1900,1900,0.6,0.6
3,3,1900,1901,0.7,1.25
1,1,1900,1900,0.25,0.25
1,1,1946,1946,1.65,1.65
3,3,1944,1944,0.45,0.45
3,3,1913,1913,0.35,35.0
1,1,1917,1917,0.2,0.2
1,1,2000,2000,4.15,4.15
1,1,1898,1898,4.0,4.0
2,3,1955,1959,0.55,1.0
2,2,1901,1905,0.65,1.5
1,1,1985,1985,3.75,3.75
1,1,1917,1917,1.3,2.5
1,1,1918,1918,0.25,0.35
3,3,1913,1955,0.2,0.75
1,1,1933,1933,0.9,0.9
2,2,1900,1900,0.05,0.05
1,1,1955,1955,0.5,0.5
1,1,1949,1949,0.5,0.5
1,1,1987,1987,20.5,20.5
1,1,1918,1918,3.0,6.0
2,2,1915,1939,0.3,0.3
1,1,1941,1941,0.75,0.75
28,28,1914,1943,0.1,0.3
1,1,1975,1975,5.25,5.25
3,3,1900,1910,0.06,0.6
2,2,1943,1943,1.25,1.25
1,1,1900,1900,0.15,0.15
2,2,1906,1906,0.35,0.6
1,1,1950,1950,0.5,0.5
2,2,1900,1900,0.4,0.4
1,1,1900,1900,0.45,0.45
1,1,1900,1900,1.5,3.0
4,4,1914,1914,0.75,0.75
1,1,1917,1917,0.3,0.3
1,1,1907,1907,0.75,1.5
1,1,1984,1984,2.5,2.5
6,7,1891,1955,0.35,5.0
1,1,1920,1920,1.5,1.5
1,1,1906,1906,0.25,0.25
1,1,1900,1900,0.35,0.35
2,2,1917,1917,0.45,0.45
1,1,1900,1900,0.12,1.25
1,1,1900,1900,0.3,0.3
1,1,1949,1949,2.25,2.25
1,2,1887,1887,0.2,0.2
1,1,1914,1914,0.15,0.15
1,1,1900,1900,1.75,3.5
2,2,1901,1907,0.3,0.3
2,2,1900,1900,0.2,35.0
1,1,1852,1852,1.25,2.5
1,1,1918,1918,0.35,0.35
2,2,1914,1914,0.4,0.75
2,2,1945,1949,0.65,0.75
1,1,1917,1917,0.55,0.55
84,84,1912,1943,0.7,0.75
1,1,1901,1901,0.5,0.5
2,2,1954,1955,0.5,0.5
1,1,1914,1914,0.45,0.45
1,1,1913,1913,0.25,0.25
1,1,1940,1940,0.75,0.75
1,1,1900,1900,1.05,2.0
1,1,1873,1873,4.0,4.0
1,1,1943,1943,0.3,0.3
1,1,1918,1918,0.15,0.15
1,1,1941,1941,2.75,2.75
1,1,1948,1948,0.95,1.75
1,1,1907,1907,0.25,0.25
1,1,1907,1907,0.75,0.75
1,1,1962,1962,4.0,4.0
2,2,1906,1914,0.2,0.2
25,25,1933,1933,0.65,0.65
1,1,1900,1900,0.3,0.3
1,1,1900,1900,0.5,0.9
2,2,1894,1900,25.0,25.0
1,1,1972,1972,1.25,1.25
1,1,1917,1917,0.15,0.15
1,1,1944,1944,0.75,0.75
1,1,1949,1949,0.6,0.6
1,1,1907,1907,1.5,1.5
1,1,1914,1914,0.3,0.3
1,1,1914,1914,0.25,0.25
1,1,1900,1900,0.05,0.05
2,3,1976,1998,14.95,19.95
1,0,1947,1947,1.25,1.5
5,5,1900,1914,0.15,0.3
1,1,1905,1905,0.15,0.15
2,2,1905,1905,0.5,0.9
1,1,1944,1944,0.3,0.3
3,3,1914,1917,1.25,1.5
1,1,1918,1918,0.4,0.4
1,1,1917,1917,0.05,0.05
2,2,1914,1914,0.25,0.25
1,1,1918,1918,2.5,2.5
1,1,1913,1913,0.3,0.3
1,1,1963,1963,0.85,0.85
1,1,1967,1967,2.35,2.35
5,5,1916,1918,0.4,0.45
1,1,1917,1917,0.75,0.75
1,1,1946,1946,2.25,3.75
2,2,1906,1906,0.75,0.75
3,3,1914,1919,0.2,0.4
11,11,1907,1914,1.0,2.0
1,1,1905,1905,0.15,1.5
2,2,1913,1913,0.5,0.6
1,0,1907,1907,4.0,4.0
1,1,1905,1905,0.6,0.6
1,1,1900,1900,0.15,0.15
1,1,1900,1900,0.05,0.05
1,1,1900,1900,0.15,0.15
38,40,1892,1940,0.2,60.0
1,1,1905,1905,2.0,4.0
1,1,1944,1944,0.4,0.4
1,1,1956,1956,0.4,0.4
3,3,1917,1917,0.25,0.25
12,12,1947,1950,0.5,0.55
1,1,1914,1914,0.05,0.05
1,1,1919,1919,0.15,0.15
5,5,1913,1913,0.25,25.0
1,1,1987,1987,3.5,3.5
1,1,1955,1955,2.75,2.75
10,10,1895,1939,0.65,1.5
1,0,1962,1962,2.95,2.95
3,3,1900,1905,0.35,0.75
1,1,1910,1910,0.7,1.25
51,51,1917,1918,0.85,0.95
1,1,1944,1944,0.6,0.6
10,10,1907,1958,0.25,0.5
1,1,1985,1985,19.75,19.75
1,1,1914,1914,0.05,0.05
1,1,1961,1961,2.25,2.25
1,1,1913,1913,0.25,0.25
1,1,1913,1913,0.2,0.2
1,1,1963,1963,1.8,1.8
1,1,1985,1985,4.75,4.75
3,3,1906,1907,0.65,0.65
6,6,1900,1916,0.75,1.0
1,1,1900,1900,0.15,0.15
1,1,1945,1945,1.0,1.0
2,2,1950,1959,2.3,2.95
2,2,1943,1975,1.35,4.5
1,1,1920,1920,1.25,1.25
1,1,1947,1947,2.5,2.5
1,1,1901,1901,0.25,0.25
1,1,1917,1917,0.75,1.5
3,3,1917,1919,0.4,0.7
1,1,1984,1984,0.9,0.9
2,2,1900,1900,0.5,0.8
1,0,2006,2006,12.5,12.5
3,3,1949,1962,0.35,10.0
73,74,1892,1913,0.25,0.7
4,4,1913,1917,0.2,0.25
1,1,1899,1899,0.75,1.5
1,1,1913,1913,0.25,0.25
1,1,1916,1916,0.45,0.45
1,1,1958,1958,0.4,0.4
1,1,1907,1907,0.5,0.5
1,1,1961,1961,38.0,38.0
3,3,1900,1900,0.1,0.25
1,1,1901,1901,0.05,0.05
1,1,1969,1969,0.35,0.35
6,6,1943,1965,0.35,2.75
1,1,1912,1912,2.0,2.0
1,1,1917,1917,0.4,0.4
1,1,1985,1985,2.5,2.5
1,2,1918,1918,0.4,0.4
2,2,1914,1914,0.15,0.15
2,2,1900,1900,0.2,0.2
2,2,1939,1941,0.1,0.15
1,1,1961,1961,0.85,0.85
1,1,1865,1865,0.55,0.55
1,1,1900,1900,0.15,0.15
2,2,1901,1905,0.2,0.2
1,1,1987,1987,4.95,4.95
7,7,1914,1915,0.15,0.15
1,1,1900,1900,0.25,0.25
3,3,1900,1900,1.25,2.5
1,1,1987,1987,4.95,5.95
4,4,1913,1943,0.5,1.6
1,1,1949,1949,0.15,0.15
1,1,1953,1953,1.25,2.0
2,2,1900,1933,1.0,1.0
3,3,1907,1941,0.9,1.4
1,1,1920,1920,0.85,0.85
1,1,1943,1943,1.15,1.15
1,1,1917,1917,0.6,1.0
1,1,1905,1905,0.2,0.2
1,1,1963,1963,1.25,1.25
1,1,2005,2005,25.0,25.0
1,1,1913,1913,1.0,1.0
1,1,1901,1901,0.4,0.4
12,12,1900,1970,0.2,0.25
2,2,1918,1918,0.15,0.2
1,1,1882,1882,0.25,0.25
7,7,1894,1900,0.6,25.0
2,2,1985,1985,9.5,18.5
1,1,1917,1917,0.14,0.14
1,1,1915,1915,0.1,0.1
2,2,1917,1917,0.4,0.6
1,1,1957,1957,1.25,1.25
1,1,1919,1919,2.0,2.0
1,1,1949,1949,3.0,3.0
1,1,1918,1918,0.15,0.15
3,3,1914,1918,0.5,0.75
1,1,1966,1966,0.55,0.55
10,11,1899,1914,0.4,0.75
1,1,1912,1912,0.25,0.25
1,1,1948,1948,0.7,0.7
3,3,1900,1939,1.0,1.25
1,0,1947,1947,1.0,1.0
1,1,1919,1919,0.65,0.65
1,1,1966,1966,5.95,5.95
1,1,1917,1917,0.75,0.75
1,1,1900,1900,0.2,0.2
1,1,1914,1914,0.2,1.75
1,1,1978,1978,13.75,13.75
1,1,1900,1900,0.1,0.1
3,3,1862,1882,4.0,6.0
2,2,1901,1901,0.65,0.75
1,1,1905,1905,0.25,0.25
1,1,1998,1998,9.99,9.99
1,1,1919,1919,0.55,0.55
2,2,1900,1907,1.75,3.5
2,2,1918,1920,0.65,0.75
1,1,1917,1917,0.65,0.65
1,1,1976,1976,1.8,1.8
1,1,1968,1968,0.75,0.75
1,1,1980,1980,9.3,9.3
1,1,1972,1972,0.85,0.85
1,1,1987,1987,1.6,1.6
4,4,1944,1955,0.35,0.55
1,1,1905,1905,0.2,0.2
1,1,1859,1859,2.0,2.0
1,1,1900,1900,0.3,0.3
4,4,1901,1961,0.2,0.5
412,424,1864,2928,0.05,30.0
1,1,1955,1955,1.05,1.8
1,1,1961,1961,2.65,2.65
1,1,1914,1914,0.5,0.5
1,1,1906,1906,0.9,0.9
2,2,1955,1970,3.5,3.5
1,1,1979,1979,1.75,1.75
1,1,1907,1907,0.15,0.15
1,1,1985,1985,4.5,4.5
1,1,1900,1900,0.3,0.3
1,1,1918,1918,1.0,1.0
1,1,1940,1940,0.2,0.2
1,1,1955,1955,2.25,2.25
2,2,1900,1900,0.75,0.75
6,6,1913,1914,0.15,15.0
1,1,1900,1900,0.45,0.45
1,1,1943,1943,2.6,2.6
4,4,1900,1907,0.25,0.3
1,1,1945,1945,0.5,0.5
